Source,Target,Verb
ts-assurance-service,ts-preserve-other-service,1
ts-assurance-service,ts-preserve-service,1
ts-auth-service,ts-user-service,1
ts-basic-service,ts-ticketinfo-service,2
ts-config-service,ts-admin-basic-info-service,4
ts-config-service,ts-seat-service,1
ts-consign-price-service,ts-consign-service,1
ts-consign-service,ts-preserve-other-service,1
ts-consign-service,ts-preserve-service,1
ts-contacts-service,ts-admin-basic-info-service,4
ts-contacts-service,ts-preserve-other-service,1
ts-contacts-service,ts-preserve-service,1
ts-food-map-service,ts-food-service,2
ts-food-service,ts-preserve-other-service,1
ts-food-service,ts-preserve-service,1
ts-inside-payment-service,ts-cancel-service,1
ts-inside-payment-service,ts-rebook-service,2
ts-notification-service,ts-cancel-service,1
ts-notification-service,ts-preserve-other-service,1
ts-notification-service,ts-preserve-service,1
ts-order-other-service,ts-admin-order-service,4
ts-order-other-service,ts-cancel-service,2
ts-order-other-service,ts-execute-service,1
ts-order-other-service,ts-inside-payment-service,1
ts-order-other-service,ts-preserve-other-service,1
ts-order-other-service,ts-seat-service,1
ts-order-other-service,ts-security-service,1
ts-order-other-service,ts-travel2-service,1
ts-order-service,ts-admin-order-service,4
ts-order-service,ts-cancel-service,2
ts-order-service,ts-execute-service,1
ts-order-service,ts-inside-payment-service,1
ts-order-service,ts-preserve-service,1
ts-order-service,ts-seat-service,1
ts-order-service,ts-security-service,1
ts-order-service,ts-travel-service,1
ts-payment-service,ts-inside-payment-service,1
ts-price-service,ts-admin-basic-info-service,4
ts-price-service,ts-basic-service,1
ts-route-plan-service,ts-travel-plan-service,1
ts-route-service,ts-admin-route-service,3
ts-route-service,ts-basic-service,1
ts-route-service,ts-route-plan-service,1
ts-route-service,ts-travel-service,1
ts-route-service,ts-travel2-service,1
ts-seat-service,ts-preserve-other-service,1
ts-seat-service,ts-preserve-service,1
ts-seat-service,ts-rebook-service,1
ts-seat-service,ts-travel-plan-service,1
ts-seat-service,ts-travel-service,1
ts-seat-service,ts-travel2-service,1
ts-security-service,ts-preserve-other-service,1
ts-security-service,ts-preserve-service,1
ts-station-service,ts-admin-basic-info-service,4
ts-station-service,ts-basic-service,1
ts-station-service,ts-food-service,1
ts-station-service,ts-order-other-service,1
ts-station-service,ts-order-service,1
ts-station-service,ts-preserve-other-service,1
ts-station-service,ts-preserve-service,1
ts-station-service,ts-rebook-service,1
ts-station-service,ts-route-plan-service,1
ts-station-service,ts-travel-plan-service,1
ts-ticketinfo-service,ts-preserve-other-service,1
ts-ticketinfo-service,ts-preserve-service,1
ts-ticketinfo-service,ts-travel-plan-service,1
ts-ticketinfo-service,ts-travel-service,2
ts-ticketinfo-service,ts-travel2-service,2
ts-train-service,ts-admin-basic-info-service,4
ts-train-service,ts-basic-service,1
ts-train-service,ts-travel-service,1
ts-train-service,ts-travel2-service,1
ts-travel-service,ts-admin-travel-service,4
ts-travel-service,ts-food-service,1
ts-travel-service,ts-preserve-service,1
ts-travel-service,ts-route-plan-service,1
ts-travel-service,ts-seat-service,1
ts-travel-service,ts-travel-plan-service,1
ts-travel2-service,ts-admin-travel-service,4
ts-travel2-service,ts-preserve-other-service,1
ts-travel2-service,ts-route-plan-service,1
ts-travel2-service,ts-seat-service,1
ts-travel2-service,ts-travel-plan-service,1
ts-user-service,ts-admin-user-service,3
ts-user-service,ts-cancel-service,1
ts-user-service,ts-preserve-other-service,1
ts-user-service,ts-preserve-service,1
ts-verification-code-service,ts-auth-service,1
